dataset,source_url,effective_date,status,local_path,sha256,note
CMS PFS RVU26C,https://www.cms.gov/medicare/payment/fee-schedules/physician/pfs-relative-value-files/rvu26c,2026-07-01,pending_download,,,Official CMS
ICD-10-CM April 2026,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2026-update/,2026-04-01,pending_download,,,Official CDC
ICD-10-PCS April 2026,https://www.cms.gov/medicare/coding-billing/ICD-10-codes,2026-04-01,pending_download,,,Official CMS
HCPCS July 2026,https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update,2026-07-01,pending_download,,,Official CMS
NCCI Q3 2026 PTP,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,2026-07-01,pending_download,,,Official CMS; some CPT-containing downloads may show license/interstitial
NCCI Add-On Code July 2026,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-add-code-edits,2026-07-01,pending_download,,,Official CMS
MUE July 2026,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-medically-unlikely-edit-mue-archive,2026-07-01,pending_download,,,Official CMS
2026 NCCI Policy Manual,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-policy-manual,2026-01-01,pending_download,,,Official CMS
CMS PFS RVU26C July 2026,https://www.cms.gov/medicare/payment/fee-schedules/physician/pfs-relative-value-files/rvu26c,2026-07-01,already_present,reference_data/cpt/rvu26c-updated-06-30-2026.zip,d45a158e02694c1539e7f88192c611883e377181eda86dc213359707bcacbacb,Recovered from prior downloader run.
ICD-10-CM April 2026 Code Descriptions,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2026-update/,2026-04-01,already_present,reference_data/icd10cm/icd10cm-Code Descriptions-April-1-2026.zip,5d89cd7df3ed01be5effc74f17c0e1538b0a0a296b814a5fdbde39b7c7c5b048,Recovered from prior downloader run.
ICD-10-CM April 2026 XML,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/ICD10CM/2026-update/,2026-04-01,already_present,reference_data/icd10cm/icd10cm-April-1-2026-XML.zip,0b50672322cd53b222d007fe703e2708dfa3b34f296eb2016bb3cf2109f0fd64,Recovered from prior downloader run.
ICD-10-PCS April 2026 Codes File,https://www.cms.gov/files/zip/april-1-2026-icd-10-pcs-codes-file.zip,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_codes.zip,e545c9aaf2ced94543ff3584f653dba9be9fd312fb8759ea0f3713a7d1b3f3f2,
ICD-10-PCS April 2026 Order File,https://www.cms.gov/files/zip/april-1-2026-icd-10-pcs-order-file-long-abbreviated-titles.zip,2026-04-01,downloaded,reference_data/icd10pcs/icd10pcs_april_2026_order_file.zip,9bb4a892c34b82d525182a6db6ef42ccba2c7b331ac5d24d459664a1129d776d,
